ModelID,Accuracy,Precision,Recall,F1 Score,Parameter Count,Learning Rate,Batch size,Epoch,Optimizer,conv1_size,Conv2_size,fc1_size,filter_size
---  Specic models
cnn_20250226_1231_3526,96.7473%,95.9374%,99.3272%,97.6029%,3694,0.002,32,100,adam,20,4,8,5
cnn_20250226_1231_8115,97.6993%,97.7772%,98.7948%,98.2834%,4326,0.002,32,100,adam,8,2,22,5
cnn_20250226_1231_6445,96.6086%,96.2586%,98.7512%,97.4889%,3682,0.002,32,100,adam,12,2,18,5
cnn_20250226_1231_8067,96.4537%,95.9934%,98.8045%,97.3787%,7858,0.002,32,100,adam,12,4,20,5
cnn_20250226_1231_5015,96.3278%,96.4633%,98.0881%,97.2689%,4076,0.002,32,100,adam,10,4,10,5
cnn_20250226_1231_3691,96.8667%,96.2596%,99.1530%,97.6848%,4292,0.002,32,100,adam,16,4,10,5
cnn_20250226_1231_7295,97.0410%,97.3658%,98.2188%,97.7904%,7692,0.002,32,100,adam,28,4,18,5
cnn_20250226_1231_9615,96.2310%,96.6986%,97.6815%,97.1876%,12144,0.002,32,100,adam,28,4,30,5
cnn_20250226_1231_1634,97.1507%,96.6681%,99.1433%,97.8900%,3776,0.002,32,100,adam,30,2,16,5
cnn_20250226_1231_8683,66.6667%,66.6667%,100.0000%,80.0000%,2124,0.002,32,100,adam,24,2,8,5
cnn_20250226_1312_1612,96.8861%,97.5151%,97.8219%,97.6682%,2124,0.002,32,100,adam,24,2,8,5
cnn_20250226_1330_2824,96.5570%,95.8187%,99.1626%,97.4620%,2124,0.002,32,100,adam,24,2,8,5

-----

cnn_20250226_1457_2824,96.9313%,97.1304%,98.3011%,97.7122%,2036,0.002,32,100,adam,24,2,8,4
cnn_20250226_1457_2824,96.2665%,96.1741%,98.3107%,97.2307%,4260,0.002,32,100,adam,16,4,10,4
cnn_20250226_1457_2824,97.0539%,96.7562%,98.8964%,97.8146%,3694,0.002,32,100,adam,12,2,18,4
cnn_20250226_1457_2824,96.4666%,96.4220%,98.3495%,97.3762%,3618,0.002,32,100,adam,20,4,8,4
cnn_20250226_1457_2824,96.8183%,97.3297%,97.9138%,97.6209%,12188,0.002,32,100,adam,28,4,30,4
cnn_20250226_1457_2824,96.6279%,96.0381%,99.0271%,97.5097%,7934,0.002,32,100,adam,12,4,20,4
cnn_20250226_1457_2824,96.5215%,96.1622%,98.7222%,97.4254%,7640,0.002,32,100,adam,28,4,18,4
cnn_20250226_1457_2824,96.1116%,96.6033%,97.5992%,97.0987%,4086,0.002,32,100,adam,10,4,10,4
cnn_20250226_1457_2824,97.5444%,97.7813%,98.5528%,98.1655%,4374,0.002,32,100,adam,8,2,22,4

----

cnn_20250226_1613_2824,97.5444%,97.7813%,98.5528%,98.1655%,4374,0.002,32,100,adam,8,2,22,4
cnn_20250226_1613_2824,96.6279%,96.0381%,99.0271%,97.5097%,7934,0.002,32,100,adam,12,4,20,4
cnn_20250226_1613_2824,96.2665%,96.1741%,98.3107%,97.2307%,4260,0.002,32,100,adam,16,4,10,4
cnn_20250226_1613_2824,96.4666%,96.4220%,98.3495%,97.3762%,3618,0.002,32,100,adam,20,4,8,4
cnn_20250226_1613_2824,96.1116%,96.6033%,97.5992%,97.0987%,4086,0.002,32,100,adam,10,4,10,4
cnn_20250226_1613_2824,96.9313%,97.1304%,98.3011%,97.7122%,2036,0.002,32,100,adam,24,2,8,4
cnn_20250226_1613_2824,97.0539%,96.7562%,98.8964%,97.8146%,3694,0.002,32,100,adam,12,2,18,4
cnn_20250226_1613_2824,96.5215%,96.1622%,98.7222%,97.4254%,7640,0.002,32,100,adam,28,4,18,4
cnn_20250226_1613_2824,96.4214%,95.5077%,99.3030%,97.3684%,3690,0.002,32,100,adam,30,2,16,4

------

